GEO_ID,NAME,S1901_C01_001E,S1901_C01_001M,S1901_C01_002E,S1901_C01_002M,S1901_C01_003E,S1901_C01_003M,S1901_C01_004E,S1901_C01_004M,S1901_C01_005E,S1901_C01_005M,S1901_C01_006E,S1901_C01_006M,S1901_C01_007E,S1901_C01_007M,S1901_C01_008E,S1901_C01_008M,S1901_C01_009E,S1901_C01_009M,S1901_C01_010E,S1901_C01_010M,S1901_C01_011E,S1901_C01_011M,S1901_C01_012E,S1901_C01_012M,S1901_C01_013E,S1901_C01_013M,S1901_C01_014E,S1901_C01_014M,S1901_C01_015E,S1901_C01_015M,S1901_C01_016E,S1901_C01_016M,S1901_C02_001E,S1901_C02_001M,S1901_C02_002E,S1901_C02_002M,S1901_C02_003E,S1901_C02_003M,S1901_C02_004E,S1901_C02_004M,S1901_C02_005E,S1901_C02_005M,S1901_C02_006E,S1901_C02_006M,S1901_C02_007E,S1901_C02_007M,S1901_C02_008E,S1901_C02_008M,S1901_C02_009E,S1901_C02_009M,S1901_C02_010E,S1901_C02_010M,S1901_C02_011E,S1901_C02_011M,S1901_C02_012E,S1901_C02_012M,S1901_C02_013E,S1901_C02_013M,S1901_C02_014E,S1901_C02_014M,S1901_C02_015E,S1901_C02_015M,S1901_C02_016E,S1901_C02_016M,S1901_C03_001E,S1901_C03_001M,S1901_C03_002E,S1901_C03_002M,S1901_C03_003E,S1901_C03_003M,S1901_C03_004E,S1901_C03_004M,S1901_C03_005E,S1901_C03_005M,S1901_C03_006E,S1901_C03_006M,S1901_C03_007E,S1901_C03_007M,S1901_C03_008E,S1901_C03_008M,S1901_C03_009E,S1901_C03_009M,S1901_C03_010E,S1901_C03_010M,S1901_C03_011E,S1901_C03_011M,S1901_C03_012E,S1901_C03_012M,S1901_C03_013E,S1901_C03_013M,S1901_C03_014E,S1901_C03_014M,S1901_C03_015E,S1901_C03_015M,S1901_C03_016E,S1901_C03_016M,S1901_C04_001E,S1901_C04_001M,S1901_C04_002E,S1901_C04_002M,S1901_C04_003E,S1901_C04_003M,S1901_C04_004E,S1901_C04_004M,S1901_C04_005E,S1901_C04_005M,S1901_C04_006E,S1901_C04_006M,S1901_C04_007E,S1901_C04_007M,S1901_C04_008E,S1901_C04_008M,S1901_C04_009E,S1901_C04_009M,S1901_C04_010E,S1901_C04_010M,S1901_C04_011E,S1901_C04_011M,S1901_C04_012E,S1901_C04_012M,S1901_C04_013E,S1901_C04_013M,S1901_C04_014E,S1901_C04_014M,S1901_C04_015E,S1901_C04_015M,S1901_C04_016E,S1901_C04_016M
id,Geographic Area Name,Estimate!!Households!!Total,Margin of Error!!Households!!Total,"Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more",Estimate!!Households!!Median income (dollars),Margin of Error!!Households!!Median income (dollars),Estimate!!Households!!Mean income (dollars),Margin of Error!!Households!!Mean income (dollars),Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Estimate!!Families!!Total,Margin of Error!!Families!!Total,"Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more",Estimate!!Families!!Median income (dollars),Margin of Error!!Families!!Median income (dollars),Estimate!!Families!!Mean income (dollars),Margin of Error!!Families!!Mean income (dollars),Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Estimate!!Married-couple families!!Total,Margin of Error!!Married-couple families!!Total,"Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more",Estimate!!Married-couple families!!Median income (dollars),Margin of Error!!Married-couple families!!Median income (dollars),Estimate!!Married-couple families!!Mean income (dollars),Margin of Error!!Married-couple families!!Mean income (dollars),Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Estimate!!Nonfamily households!!Total,Margin of Error!!Nonfamily households!!Total,"Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more",Estimate!!Nonfamily households!!Median income (dollars),Margin of Error!!Nonfamily households!!Median income (dollars),Estimate!!Nonfamily households!!Mean income (dollars),Margin of Error!!Nonfamily households!!Mean income (dollars),Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months
1400000US08031000102,"Census Tract 1.02, Denver County, Colorado",1603,95,4.6,3.4,2.6,2.2,8.6,4.1,7,3.8,3.4,2.6,11,5.1,11.3,4.6,19.8,6.2,15.9,4.8,15.7,4.6,102625,24362,120427,12279,38.2,(X),(X),(X),(X),(X),948,114,3.4,5.1,2.2,2.5,7.1,5.8,5.4,5,1.2,1.8,6,3.9,11.9,5.9,25.2,8.8,16.6,5.6,21.1,7.1,120104,18090,135971,17744,(X),(X),36.3,(X),(X),(X),768,118,0,4.1,1.6,2.3,4.3,4.8,2.7,3.1,0,4.1,5.9,4.2,13.8,7.1,26.2,9.6,20.4,6.7,25.1,7.9,142273,24592,N,N,(X),(X),(X),(X),(X),(X),655,110,11.1,7.9,3.2,3.7,10.8,5.7,9.3,6.6,6.7,5.4,13.4,8.7,10.4,6.5,12.8,6.4,16.5,7.9,5.6,4.3,63869,20690,93480,20031,(X),(X),(X),(X),36,(X)
1400000US08031000201,"Census Tract 2.01, Denver County, Colorado",1663,91,3.1,2.1,10.9,4.6,10.5,4.7,10.3,5.4,10.8,5.7,13.4,4.5,18.9,5,14.9,4.5,2.9,2.1,4.3,3.2,62639,14497,82242,18099,35.1,(X),(X),(X),(X),(X),822,117,1.6,2.4,4.5,3.6,8.5,6.7,9.6,6.3,9.6,5.5,15.7,7.8,19.2,7.8,22.3,7.9,2.6,2.9,6.4,5.8,75185,7524,98093,28783,(X),(X),31.4,(X),(X),(X),626,115,0,5.1,0,5.1,9.7,8.4,8.6,7.2,9.3,5.9,16.3,8.7,21.6,10.3,24.8,9.8,3.4,3.8,6.4,6.5,76939,13207,N,N,(X),(X),(X),(X),(X),(X),841,119,4.6,3.4,17.1,9.5,12.4,6.3,11.1,8.8,14.3,10.4,11.7,5.6,15.8,6.4,8.7,4.8,2.3,2.6,2.1,2.5,42179,12760,65155,21247,(X),(X),(X),(X),37.8,(X)
1400000US08031000202,"Census Tract 2.02, Denver County, Colorado",1773,82,14,5.6,4.9,4.3,4.9,3.9,10.5,5.2,7.6,3.5,16,5.6,14,4.8,17.1,4.2,5.9,2.8,5,3.1,60855,4875,80988,12671,29.7,(X),(X),(X),(X),(X),992,137,8.8,6.2,5.3,6.8,2.8,3.1,6.4,5.9,9,5.6,14.8,6.5,21.5,8.1,18.5,6,6.5,4.1,6.5,4.1,79063,21392,95640,19696,(X),(X),32.6,(X),(X),(X),627,106,4.6,5,1.6,2.5,1.9,3,0,5,6.4,6.4,20.3,9.4,23.4,10.4,21.4,7.6,10.2,6.7,10.2,6.7,89125,10120,N,N,(X),(X),(X),(X),(X),(X),781,143,20.7,10.8,4.4,4,7.6,8.2,19.8,9.9,5.9,4.2,13.4,6.6,5,4.2,16.9,7.6,3.1,2.6,3.2,3.8,33646,14957,60197,13001,(X),(X),(X),(X),23.7,(X)
1400000US08031000301,"Census Tract 3.01, Denver County, Colorado",2808,144,9.2,4.8,0.8,1.2,6.4,5.2,6.3,5,6.6,3.2,14,6.5,10.7,5.6,15.2,4.8,15.2,5.1,15.5,4.2,93360,19209,121092,13625,34.2,(X),(X),(X),(X),(X),1318,192,0,2.4,0,2.4,0,2.4,1.4,2.2,13.2,7.9,8.7,5.8,6.8,4.8,16.8,8.2,25.6,9.2,27.5,8.1,155532,10749,169059,20510,(X),(X),33.2,(X),(X),(X),1112,155,0,2.9,0,2.9,0,2.9,1.6,2.6,3.8,4.6,8.3,6.1,6.3,5,18,8.4,30.4,10.3,31.7,9.4,161610,5876,N,N,(X),(X),(X),(X),(X),(X),1490,228,17.3,8.6,1.5,2.4,12,9.9,10.6,8.5,5.8,4.3,18.7,10.7,9.1,5.3,13.9,6.3,6,4.4,4.9,3.7,53889,16695,75339,16007,(X),(X),(X),(X),34.2,(X)
1400000US08031000302,"Census Tract 3.02, Denver County, Colorado",2068,133,1.1,1.9,2.5,2.9,4,3.6,2.8,2.5,9.6,5.6,14.5,6,17.4,8.3,19.6,6.9,10,5.3,18.7,6.9,97907,16745,141159,28494,26.3,(X),(X),(X),(X),(X),941,146,0,3.4,5.4,6.2,0,3.4,3.6,5.4,2.9,3.3,12.6,7.7,8.4,7,30.6,12.3,12,8.1,24.4,9.3,132011,18843,144146,21023,(X),(X),26.6,(X),(X),(X),711,134,0,4.5,2.5,4.1,0,4.5,0,4.5,3.8,4.4,11.4,8.8,11.1,9.1,33.2,13.4,15.9,10.5,22.1,10,132337,18318,N,N,(X),(X),(X),(X),(X),(X),1127,167,2,3.4,0,2.8,7.3,6.3,5.1,4.5,15.2,9.9,13,8.1,24.9,12.6,10.4,6.9,8.3,5.9,13.8,9.3,79816,9098,137523,47609,(X),(X),(X),(X),23,(X)
1400000US08031000303,"Census Tract 3.03, Denver County, Colorado",2265,204,4.7,4.3,2.2,2.1,6.4,4.4,6,3.1,7.4,3.9,13.2,4.8,5.5,3.2,18.4,6.2,18.1,5.7,18,5.6,111222,27772,146082,23395,32.1,(X),(X),(X),(X),(X),1052,185,0,3,1.5,2.6,8.7,7.7,4.8,4.3,5.5,4.4,9.8,6.5,2.8,3,17.9,8.2,25.5,9.3,23.6,9.2,146694,21464,186904,42879,(X),(X),32.7,(X),(X),(X),843,128,0,3.8,0,3.8,1.8,2.9,6,5.1,2.1,3.2,12.2,8.1,1.4,2.4,18.6,9.1,30.4,11,27.4,10.7,163897,18927,N,N,(X),(X),(X),(X),(X),(X),1213,199,8.8,7.8,2.8,3.3,4.5,4,7,4.4,10.3,6.5,15,6.7,7.9,5.5,18.8,7.7,11.6,6.2,13.2,7.3,78304,22407,110419,24929,(X),(X),(X),(X),31.7,(X)
1400000US08031000401,"Census Tract 4.01, Denver County, Colorado",1405,94,4.7,3.2,7,4.4,6.8,4.5,6.8,4.3,10.5,5.5,12.1,4.3,6.8,3.3,25.8,7.2,6.7,3.4,12.8,5.2,85694,31015,97567,12917,37.2,(X),(X),(X),(X),(X),747,112,5.5,5.6,2.3,3.4,6.7,5.1,6.2,6.1,10.4,6.9,14.3,5.8,7.4,4.1,19.7,7.2,7,4.2,20.6,8.9,90813,30537,111293,19433,(X),(X),34.8,(X),(X),(X),491,102,2,3,0,6.4,1.8,3.1,0,6.4,10.8,8.3,10.6,7.7,9.8,5.8,23,10,10.6,6.4,31.4,12.6,137917,27914,N,N,(X),(X),(X),(X),(X),(X),658,108,6.8,5.7,12.3,8.1,10,8,7.4,6.2,7.6,6.6,11.4,6.5,6.2,6.2,30.7,12.6,3.5,4.3,4,3,58452,33354,75222,14034,(X),(X),(X),(X),39.8,(X)
1400000US08031000402,"Census Tract 4.02, Denver County, Colorado",3088,204,4.6,3.1,3.6,2.9,10.6,5.5,7.5,4.8,5.8,3.5,10.1,4.4,14.6,5.2,17,5,11,3.2,15.1,4,86278,10052,116360,12962,25,(X),(X),(X),(X),(X),1107,181,4.2,6.1,1.4,2.5,20,12.6,7.9,11.7,1.4,2.7,3.2,3.7,10.2,6.6,12.7,7,10.9,5.2,27.9,11.3,118125,54203,142369,31459,(X),(X),17.5,(X),(X),(X),691,153,0,4.6,2.3,3.8,2.7,4.2,0,4.6,0,4.6,5.1,5.9,11.4,9.7,20.4,10.9,13.3,7.5,44.7,13.4,184145,61192,N,N,(X),(X),(X),(X),(X),(X),1981,240,4.8,3.9,4.7,4.3,5.4,4.7,7.3,5.2,8.3,5,14,6.1,17.7,7.3,19.4,6.9,10.5,4.1,7.9,4.2,81226,7845,101222,14165,(X),(X),(X),(X),29.2,(X)
1400000US08031000501,"Census Tract 5.01, Denver County, Colorado",965,51,3.5,3.9,1.1,1.2,3,2.1,3.2,2.4,4.2,2.6,13.1,7.1,12.6,4.8,16.4,4.4,18,5.3,24.8,6.1,118125,25849,146362,14786,24.8,(X),(X),(X),(X),(X),620,66,4.5,5.7,0,5.1,1.9,2,2.6,2.7,1.6,2.4,7.7,7.1,12.4,6.9,13.9,5,22.7,7,32.6,9.2,167500,22720,167808,21065,(X),(X),19.8,(X),(X),(X),506,68,0,6.2,0,6.2,1.2,1.6,1.2,1.6,0,6.2,9.5,8.6,5.9,3.7,15.4,5.9,26.9,8.2,39.9,10.4,183214,17895,N,N,(X),(X),(X),(X),(X),(X),345,57,9.9,10.9,3.2,3.4,4.9,4.3,4.3,4.4,9,6.3,14.5,7.2,13,6.3,20.9,8.5,12.2,10.8,8.1,5.3,86563,25795,101885,23351,(X),(X),(X),(X),33.6,(X)
1400000US08031000502,"Census Tract 5.02, Denver County, Colorado",2825,155,13.2,6.4,10,5.3,9.2,4.3,1.8,1.8,7.2,3.9,7.5,3.7,9.9,4.2,12.5,4.9,14.2,4.8,14.4,4.4,76185,10992,109603,17902,27,(X),(X),(X),(X),(X),1256,178,7.4,9.1,8.2,10,7.1,6.9,1.4,2.2,4.7,4,13.1,6.5,6.2,4.7,13.7,7.7,22.1,8.6,16.2,6.7,114063,42939,119849,15403,(X),(X),23.1,(X),(X),(X),813,161,0,3.9,0,3.9,4.7,4.7,0,3.9,3.1,3.3,9.8,8.7,4.7,5.4,21.2,11,31.5,12.9,25.1,11.4,152917,19430,N,N,(X),(X),(X),(X),(X),(X),1569,224,17.9,9,12.5,6.4,11,6,2.2,2.6,9.2,6,4.3,2.9,10.6,6.6,11.5,6.7,7.8,4.8,13,6.4,43750,38387,100328,31718,(X),(X),(X),(X),29.1,(X)
1400000US08031000600,"Census Tract 6, Denver County, Colorado",2059,165,7.9,4,2.7,2.2,10.9,6,1.9,1.8,12.5,5.7,15.5,5.9,11.5,4.4,17,5.3,8.8,3.7,11.3,4.4,73417,14917,95719,13206,21.4,(X),(X),(X),(X),(X),625,176,4.3,5.4,1.9,3.3,25.3,13.2,0,5.1,7.8,9.1,4.2,4.7,4.2,3.6,17.4,10.5,11.7,8.1,23.2,8.8,112788,59271,120869,30050,(X),(X),25.8,(X),(X),(X),448,156,0,7,0,7,20.1,15,0,7,7.6,12,2.9,4.7,4,4.5,16.7,10.3,16.3,10.7,32.4,11.3,149000,41655,N,N,(X),(X),(X),(X),(X),(X),1434,184,9.5,5,3,2.8,4.7,5.2,2.7,2.6,15.6,7.2,19.4,7.9,14.6,6.2,16.8,6.1,7.6,4.2,6.1,4.1,68864,11256,84258,11254,(X),(X),(X),(X),19.5,(X)
1400000US08031000701,"Census Tract 7.01, Denver County, Colorado",2145,149,11.1,5.1,10,4.5,8.9,3.9,10.5,5.9,11.6,5.7,15.1,4.7,12.4,4.7,8.3,3.3,8,4.3,4.1,2.9,44145,15534,65123,9694,37.2,(X),(X),(X),(X),(X),756,161,10.8,10.3,4.9,7.5,6.9,5.8,8.2,5.9,15.5,9.5,7.9,7,16.8,10.5,13.8,8.1,8.2,7.5,7,6.4,65758,33283,77929,18474,(X),(X),47.4,(X),(X),(X),418,104,6.9,8,0,7.5,3.1,5.5,12,9.1,11,11.7,4.3,4.9,19.4,13.9,15.8,11,14.8,12.8,12.7,10.9,79338,37789,N,N,(X),(X),(X),(X),(X),(X),1389,163,11.3,6.2,12.8,5.7,9.9,4.9,11.7,8.3,14.2,7.1,14.3,5.4,10.1,4.4,5.3,3.8,7.8,5.5,2.5,2.5,37003,6630,56848,10612,(X),(X),(X),(X),31.6,(X)
1400000US08031000702,"Census Tract 7.02, Denver County, Colorado",2070,210,12.4,5.3,9.4,5.3,9.5,5.5,12,5.6,7.8,3.8,20.2,7.7,6.2,3.4,11.6,4.7,4.5,3.2,6.3,3.2,45000,14404,69805,12581,36.1,(X),(X),(X),(X),(X),909,178,12.8,8.9,9,9.7,14.2,9.9,10.7,7.1,1.9,3,17.3,9.8,6.5,6,14.2,7.1,1.5,2.3,12,6.8,51350,33402,84125,26322,(X),(X),29.3,(X),(X),(X),482,135,0,6.5,11,16.4,6.8,7.6,2.7,3.8,3.5,5.5,20.3,18.8,8.7,10.2,21.4,10.2,2.9,4.3,22.6,12.3,91607,48209,N,N,(X),(X),(X),(X),(X),(X),1161,198,12.1,7.5,9.7,5.6,6.5,5.1,13.6,8.2,12.4,6.4,22,11.3,7.7,5.3,7.3,4.9,6.9,5.4,1.8,2.4,43209,12394,56496,9468,(X),(X),(X),(X),41.5,(X)
1400000US08031000800,"Census Tract 8, Denver County, Colorado",411,59,41.4,14.7,10.5,6.5,24.8,12.6,7.3,6.3,7.3,4.9,2.7,3.3,0,7.6,6.1,6.9,0,7.6,0,7.6,13125,6846,21817,7524,36.5,(X),(X),(X),(X),(X),354,63,41,15.8,8.5,6.4,26.8,13.9,6.5,5.8,7.1,5.4,3.1,3.8,0,8.8,7.1,8,0,8.8,0,8.8,15132,7118,22673,8780,(X),(X),35.9,(X),(X),(X),72,33,5.6,9.6,0,34.4,9.7,16.6,9.7,16.4,34.7,25.9,5.6,8.2,0,34.4,34.7,29.2,0,34.4,0,34.4,40313,38808,N,N,(X),(X),(X),(X),(X),(X),57,26,43.9,28.2,22.8,21.3,12.3,18,12.3,23,8.8,13.3,0,39.3,0,39.3,0,39.3,0,39.3,0,39.3,10673,7667,16165,6994,(X),(X),(X),(X),24.6,(X)
1400000US08031000902,"Census Tract 9.02, Denver County, Colorado",1918,61,0.5,0.8,3,2.2,11.2,5.5,11.5,5.1,16,7.2,24.6,7.6,15.3,5.6,8.9,4.6,7.2,4.4,1.8,2.2,58382,6327,69601,8116,48.5,(X),(X),(X),(X),(X),1277,143,0.8,1.3,1.6,1.9,9.2,6.4,9.9,6.5,20.1,9.8,21.7,8.9,19.3,7.6,7.3,5.3,7.4,5.2,2.7,3.4,60716,3943,73344,10907,(X),(X),49.9,(X),(X),(X),828,175,0,3.8,0,3.8,4.2,5,10.9,8.5,13.2,9,27.5,12.1,23.6,9.1,9.9,7.6,6.5,4.3,4.2,5,65556,16116,N,N,(X),(X),(X),(X),(X),(X),641,133,1.6,2.6,5.6,5.1,17.9,10.5,13.1,9.1,7.8,5.5,27.6,13.2,7.3,7.7,12.2,8.9,6.9,7.9,0,4.9,52996,15308,60725,12249,(X),(X),(X),(X),45.7,(X)
1400000US08031000903,"Census Tract 9.03, Denver County, Colorado",1890,112,6.6,3.4,8.5,3.9,12.6,4.3,13.4,5.8,12.2,5.2,29.5,6.4,7.9,4,8.7,4,0.6,0.9,0,1.7,46071,14342,49338,4683,44.7,(X),(X),(X),(X),(X),1288,143,5.4,3.7,8.9,5.4,10.9,5.5,13,6.9,17.3,7.1,25.8,8.3,9.8,5.5,8.9,5,0,2.5,0,2.5,43214,14077,49652,5811,(X),(X),46.4,(X),(X),(X),818,150,3.2,4,5.3,4.6,8.7,6.5,16.6,9.9,17,9.4,28.2,10.8,12.2,8.3,8.8,6.2,0,3.9,0,3.9,49545,14073,N,N,(X),(X),(X),(X),(X),(X),602,127,11.5,7.8,12.6,6.5,14.6,6.6,17.8,11.1,5.8,5.7,23.8,9.3,4,3.7,10,7,0,5.3,0,5.3,29919,6844,42007,7348,(X),(X),(X),(X),34.1,(X)
1400000US08031000904,"Census Tract 9.04, Denver County, Colorado",1951,78,13.8,4.6,11.7,4.5,14.6,5.2,13.6,4.9,11,4.5,16.5,4.5,4.5,2.7,7.8,3.4,5,3.3,1.4,1.7,30313,5429,49116,6930,43.4,(X),(X),(X),(X),(X),1136,122,9.6,5.8,6.3,3.7,11.9,6.2,17.1,7.2,9.9,5.4,23.9,7.9,4.2,3.6,11.4,5.2,3.3,3.4,2.4,2.9,43056,13985,56831,10788,(X),(X),49.4,(X),(X),(X),663,132,5.7,6.5,3.6,3.8,11.3,7.5,9.8,8,7.8,7.5,27.8,12.1,7.2,5.9,19.6,8.3,3,3.6,4.1,4.7,54954,15281,N,N,(X),(X),(X),(X),(X),(X),815,107,24,9.4,19.3,9.2,18,8.5,9.1,5.1,9.1,6.4,9.1,4.7,3.9,3.9,3.6,3.6,3.9,4.8,0,3.9,17271,3468,33748,8513,(X),(X),(X),(X),35.1,(X)
1400000US08031000905,"Census Tract 9.05, Denver County, Colorado",1281,52,5.5,4.7,4.8,4.5,7.1,4.3,12.8,6.5,11.9,5.8,19.7,7.1,13.9,7.1,16.5,5.5,3,2.6,4.8,4.6,62569,5170,99823,48791,49.6,(X),(X),(X),(X),(X),932,100,6.4,6.1,2.7,4,6.7,5.3,10.7,6.1,14.9,7.1,14.1,7.6,15.1,8.8,22.3,7.8,2.7,3.1,4.4,5.4,63370,11942,109874,62297,(X),(X),50.5,(X),(X),(X),626,114,1.6,2.7,4,5.8,3.2,3.3,14.7,8.8,9.4,6.8,19,10.4,11.3,9.4,31,9.8,4,4.5,1.8,2.9,66071,22140,N,N,(X),(X),(X),(X),(X),(X),349,90,2.9,4.3,10.6,12.4,8.3,7.6,20.6,14.3,12.3,9.7,24.1,13.2,10.6,9.9,4.9,5.5,0,8.9,5.7,8.7,44148,18153,62267,25228,(X),(X),(X),(X),47,(X)
1400000US08031001000,"Census Tract 10, Denver County, Colorado",1413,61,9.2,5.4,4.1,3.2,14.9,6.9,5.2,3.6,20,7.6,18.8,7.5,11.4,6.7,14.4,7.9,1.3,1.6,0.8,1.3,45929,9549,57397,9089,45.1,(X),(X),(X),(X),(X),1073,129,5.3,5.3,3.1,3.2,14,8.9,2.4,3.4,20.8,9.2,22.2,9.4,12.7,8.6,16.8,10,1.7,2.2,1.1,1.7,52375,8933,64224,10622,(X),(X),44.8,(X),(X),(X),677,145,1,1.7,1,1.9,10.6,9.1,1.8,2.8,18,11.3,30.6,14.1,14,11.9,18.5,14.2,2.7,3.5,1.8,2.7,62813,19515,N,N,(X),(X),(X),(X),(X),(X),340,106,21.5,15.3,10,8.9,17.6,10.3,11.2,9.2,23.2,12.6,5.3,5.9,4.1,6.4,7.1,7.5,0,9.1,0,9.1,25268,7950,33120,9997,(X),(X),(X),(X),45.9,(X)
