GEO_ID,NAME,S1901_C01_001E,S1901_C01_001M,S1901_C01_002E,S1901_C01_002M,S1901_C01_003E,S1901_C01_003M,S1901_C01_004E,S1901_C01_004M,S1901_C01_005E,S1901_C01_005M,S1901_C01_006E,S1901_C01_006M,S1901_C01_007E,S1901_C01_007M,S1901_C01_008E,S1901_C01_008M,S1901_C01_009E,S1901_C01_009M,S1901_C01_010E,S1901_C01_010M,S1901_C01_011E,S1901_C01_011M,S1901_C01_012E,S1901_C01_012M,S1901_C01_013E,S1901_C01_013M,S1901_C01_014E,S1901_C01_014M,S1901_C01_015E,S1901_C01_015M,S1901_C01_016E,S1901_C01_016M,S1901_C02_001E,S1901_C02_001M,S1901_C02_002E,S1901_C02_002M,S1901_C02_003E,S1901_C02_003M,S1901_C02_004E,S1901_C02_004M,S1901_C02_005E,S1901_C02_005M,S1901_C02_006E,S1901_C02_006M,S1901_C02_007E,S1901_C02_007M,S1901_C02_008E,S1901_C02_008M,S1901_C02_009E,S1901_C02_009M,S1901_C02_010E,S1901_C02_010M,S1901_C02_011E,S1901_C02_011M,S1901_C02_012E,S1901_C02_012M,S1901_C02_013E,S1901_C02_013M,S1901_C02_014E,S1901_C02_014M,S1901_C02_015E,S1901_C02_015M,S1901_C02_016E,S1901_C02_016M,S1901_C03_001E,S1901_C03_001M,S1901_C03_002E,S1901_C03_002M,S1901_C03_003E,S1901_C03_003M,S1901_C03_004E,S1901_C03_004M,S1901_C03_005E,S1901_C03_005M,S1901_C03_006E,S1901_C03_006M,S1901_C03_007E,S1901_C03_007M,S1901_C03_008E,S1901_C03_008M,S1901_C03_009E,S1901_C03_009M,S1901_C03_010E,S1901_C03_010M,S1901_C03_011E,S1901_C03_011M,S1901_C03_012E,S1901_C03_012M,S1901_C03_013E,S1901_C03_013M,S1901_C03_014E,S1901_C03_014M,S1901_C03_015E,S1901_C03_015M,S1901_C03_016E,S1901_C03_016M,S1901_C04_001E,S1901_C04_001M,S1901_C04_002E,S1901_C04_002M,S1901_C04_003E,S1901_C04_003M,S1901_C04_004E,S1901_C04_004M,S1901_C04_005E,S1901_C04_005M,S1901_C04_006E,S1901_C04_006M,S1901_C04_007E,S1901_C04_007M,S1901_C04_008E,S1901_C04_008M,S1901_C04_009E,S1901_C04_009M,S1901_C04_010E,S1901_C04_010M,S1901_C04_011E,S1901_C04_011M,S1901_C04_012E,S1901_C04_012M,S1901_C04_013E,S1901_C04_013M,S1901_C04_014E,S1901_C04_014M,S1901_C04_015E,S1901_C04_015M,S1901_C04_016E,S1901_C04_016M
id,Geographic Area Name,Households!!Estimate!!Total,Households!!Margin of Error!!Total,"Households!!Estimate!!Less than $10,000","Households!!Margin of Error!!Less than $10,000","Households!!Estimate!!$10,000 to $14,999","Households!!Margin of Error!!$10,000 to $14,999","Households!!Estimate!!$15,000 to $24,999","Households!!Margin of Error!!$15,000 to $24,999","Households!!Estimate!!$25,000 to $34,999","Households!!Margin of Error!!$25,000 to $34,999","Households!!Estimate!!$35,000 to $49,999","Households!!Margin of Error!!$35,000 to $49,999","Households!!Estimate!!$50,000 to $74,999","Households!!Margin of Error!!$50,000 to $74,999","Households!!Estimate!!$75,000 to $99,999","Households!!Margin of Error!!$75,000 to $99,999","Households!!Estimate!!$100,000 to $149,999","Households!!Margin of Error!!$100,000 to $149,999","Households!!Estimate!!$150,000 to $199,999","Households!!Margin of Error!!$150,000 to $199,999","Households!!Estimate!!$200,000 or more","Households!!Margin of Error!!$200,000 or more",Households!!Estimate!!Median income (dollars),Households!!Margin of Error!!Median income (dollars),Households!!Estimate!!Mean income (dollars),Households!!Margin of Error!!Mean income (dollars),Households!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months,Households!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months,Households!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months,Households!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months,Households!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months,Households!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months,Families!!Estimate!!Total,Families!!Margin of Error!!Total,"Families!!Estimate!!Less than $10,000","Families!!Margin of Error!!Less than $10,000","Families!!Estimate!!$10,000 to $14,999","Families!!Margin of Error!!$10,000 to $14,999","Families!!Estimate!!$15,000 to $24,999","Families!!Margin of Error!!$15,000 to $24,999","Families!!Estimate!!$25,000 to $34,999","Families!!Margin of Error!!$25,000 to $34,999","Families!!Estimate!!$35,000 to $49,999","Families!!Margin of Error!!$35,000 to $49,999","Families!!Estimate!!$50,000 to $74,999","Families!!Margin of Error!!$50,000 to $74,999","Families!!Estimate!!$75,000 to $99,999","Families!!Margin of Error!!$75,000 to $99,999","Families!!Estimate!!$100,000 to $149,999","Families!!Margin of Error!!$100,000 to $149,999","Families!!Estimate!!$150,000 to $199,999","Families!!Margin of Error!!$150,000 to $199,999","Families!!Estimate!!$200,000 or more","Families!!Margin of Error!!$200,000 or more",Families!!Estimate!!Median income (dollars),Families!!Margin of Error!!Median income (dollars),Families!!Estimate!!Mean income (dollars),Families!!Margin of Error!!Mean income (dollars),Families!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months,Families!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months,Families!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months,Families!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months,Families!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months,Families!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months,Married-couple families!!Estimate!!Total,Married-couple families!!Margin of Error!!Total,"Married-couple families!!Estimate!!Less than $10,000","Married-couple families!!Margin of Error!!Less than $10,000","Married-couple families!!Estimate!!$10,000 to $14,999","Married-couple families!!Margin of Error!!$10,000 to $14,999","Married-couple families!!Estimate!!$15,000 to $24,999","Married-couple families!!Margin of Error!!$15,000 to $24,999","Married-couple families!!Estimate!!$25,000 to $34,999","Married-couple families!!Margin of Error!!$25,000 to $34,999","Married-couple families!!Estimate!!$35,000 to $49,999","Married-couple families!!Margin of Error!!$35,000 to $49,999","Married-couple families!!Estimate!!$50,000 to $74,999","Married-couple families!!Margin of Error!!$50,000 to $74,999","Married-couple families!!Estimate!!$75,000 to $99,999","Married-couple families!!Margin of Error!!$75,000 to $99,999","Married-couple families!!Estimate!!$100,000 to $149,999","Married-couple families!!Margin of Error!!$100,000 to $149,999","Married-couple families!!Estimate!!$150,000 to $199,999","Married-couple families!!Margin of Error!!$150,000 to $199,999","Married-couple families!!Estimate!!$200,000 or more","Married-couple families!!Margin of Error!!$200,000 or more",Married-couple families!!Estimate!!Median income (dollars),Married-couple families!!Margin of Error!!Median income (dollars),Married-couple families!!Estimate!!Mean income (dollars),Married-couple families!!Margin of Error!!Mean income (dollars),Married-couple families!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months,Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months,Married-couple families!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months,Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months,Married-couple families!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months,Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months,Nonfamily households!!Estimate!!Total,Nonfamily households!!Margin of Error!!Total,"Nonfamily households!!Estimate!!Less than $10,000","Nonfamily households!!Margin of Error!!Less than $10,000","Nonfamily households!!Estimate!!$10,000 to $14,999","Nonfamily households!!Margin of Error!!$10,000 to $14,999","Nonfamily households!!Estimate!!$15,000 to $24,999","Nonfamily households!!Margin of Error!!$15,000 to $24,999","Nonfamily households!!Estimate!!$25,000 to $34,999","Nonfamily households!!Margin of Error!!$25,000 to $34,999","Nonfamily households!!Estimate!!$35,000 to $49,999","Nonfamily households!!Margin of Error!!$35,000 to $49,999","Nonfamily households!!Estimate!!$50,000 to $74,999","Nonfamily households!!Margin of Error!!$50,000 to $74,999","Nonfamily households!!Estimate!!$75,000 to $99,999","Nonfamily households!!Margin of Error!!$75,000 to $99,999","Nonfamily households!!Estimate!!$100,000 to $149,999","Nonfamily households!!Margin of Error!!$100,000 to $149,999","Nonfamily households!!Estimate!!$150,000 to $199,999","Nonfamily households!!Margin of Error!!$150,000 to $199,999","Nonfamily households!!Estimate!!$200,000 or more","Nonfamily households!!Margin of Error!!$200,000 or more",Nonfamily households!!Estimate!!Median income (dollars),Nonfamily households!!Margin of Error!!Median income (dollars),Nonfamily households!!Estimate!!Mean income (dollars),Nonfamily households!!Margin of Error!!Mean income (dollars),Nonfamily households!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months,Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months,Nonfamily households!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months,Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months,Nonfamily households!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months,Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months
1400000US08031000102,"Census Tract 1.02, Denver County, Colorado",1534,86,4.8,2.5,2.9,2,6.5,3.2,11.2,4.8,7.6,3.7,19.9,6.9,14.4,4.3,20.1,5.4,4,2.4,8.5,5.5,70244,13855,86999,11265,22.8,(X),(X),(X),(X),(X),750,96,0,4.2,1.1,1.7,2.5,2.6,7.1,5.9,4.8,4.6,12.9,6.7,20.5,7.1,29.9,9,5.6,4.1,15.6,11,102222,20915,119184,20768,(X),(X),30,(X),(X),(X),581,117,0,5.4,1.4,2.2,3.3,3.3,5.5,5.8,2.9,3.5,13.6,8.1,15.3,8.1,31.7,10.9,7.2,5.3,19.1,12.5,109271,21773,N,N,(X),(X),(X),(X),(X),(X),784,115,9.4,5,4.7,3.6,10.2,5.4,15.2,7.5,12.6,7.3,25.4,10.2,8.8,4.4,9.4,5.8,2.6,2.7,1.7,2.5,44853,13335,55233,8172,(X),(X),(X),(X),15.8,(X)
1400000US08031000201,"Census Tract 2.01, Denver County, Colorado",1505,82,6.9,3.9,8,4.7,9.4,4.4,5.6,3.1,19.9,5.7,16.7,5.5,14.7,4.7,13.7,5,2.5,2.1,2.5,3.5,50750,7711,63717,10014,26.9,(X),(X),(X),(X),(X),834,103,2.9,2.7,2.8,3.1,6.6,3.9,6.8,4.6,23,7.9,20,8.5,16.9,7.3,17.4,7.5,3,3.4,0.6,1,56071,7783,67680,7423,(X),(X),26.1,(X),(X),(X),647,88,0.6,1.2,0,4.9,1.1,1.6,6.6,4.9,24.9,9.1,22.3,9.1,19.3,8.9,20.6,8.5,3.9,4.4,0.8,1.2,63831,17463,N,N,(X),(X),(X),(X),(X),(X),671,100,11.9,7.7,14.6,10,12.8,8.4,4.2,3.8,16.1,6.9,14.9,7.3,11.9,6,6.9,5.9,1.8,1.9,4.9,7.5,38717,13391,57615,19583,(X),(X),(X),(X),27.9,(X)
1400000US08031000202,"Census Tract 2.02, Denver County, Colorado",1603,90,17.2,4.2,5.5,3.1,9,4.3,6.9,3.7,9.5,4.3,13,4.3,12.8,4.3,16.8,5.4,6.7,3.9,2.7,1.8,53578,9595,67391,7723,25.8,(X),(X),(X),(X),(X),946,116,16.9,5.5,5.3,4.8,6,3.9,4.7,5.2,10.1,5.1,13.5,6,11.8,5.5,19.8,6.9,9.3,6.2,2.5,2.3,67500,22166,71858,10331,(X),(X),30.4,(X),(X),(X),567,114,0,5.6,4.6,7,5.1,4.6,7.8,8.4,5.5,4.1,14.5,7.4,14.5,8,28.4,9.5,15.5,10,4.2,3.9,95956,17510,N,N,(X),(X),(X),(X),(X),(X),657,107,17.7,9.4,5.8,3.9,13.2,8.6,10,8.1,9.7,8,12.3,6.5,12.9,7,12.5,8.7,2.9,3.1,2.9,2.9,36629,15397,60391,15914,(X),(X),(X),(X),19,(X)
1400000US08031000301,"Census Tract 3.01, Denver County, Colorado",2605,126,7.4,3.8,5.4,3.6,5.8,2.9,8.6,4.3,14.4,4.9,18.3,5.3,7.6,3.5,20.7,5.4,7.6,3.9,4.1,3.3,57269,10649,79421,11069,22.6,(X),(X),(X),(X),(X),1228,166,4,4,0.9,1.6,4.5,4.5,5,4.2,12.4,8.3,25.5,9.5,10.4,6.9,22.1,8.8,12,7.6,3.3,3.8,73409,15383,85624,10906,(X),(X),18.5,(X),(X),(X),930,165,1.4,2.2,0,3.4,2.9,3.6,0,3.4,13.3,10.4,23.8,11.7,9.4,6.6,29.1,11.6,15.8,10.1,4.3,4.9,87206,44953,N,N,(X),(X),(X),(X),(X),(X),1377,213,10.4,6.1,9.4,6.4,9.1,4.6,9.8,6.5,16.3,6.4,11.9,7.2,9.5,5.1,15,6.9,3.8,3.3,4.8,4.9,48321,9954,71826,18882,(X),(X),(X),(X),22.7,(X)
1400000US08031000302,"Census Tract 3.02, Denver County, Colorado",1959,129,0.7,1.2,4.7,4.6,3.5,2.8,9.3,6.5,12.7,5.8,13.2,4.8,16,7.6,21.3,7.1,11.4,5.3,7.1,3.7,84846,10925,100154,10505,18.3,(X),(X),(X),(X),(X),886,178,0,3.6,6.1,9,0,3.6,9.3,6.6,0,3.6,14.7,7.3,16.1,9.3,26.1,11.7,14,8,13.8,7.7,107097,28063,124690,21955,(X),(X),14.3,(X),(X),(X),718,149,0,4.4,0,4.4,0,4.4,6.5,6.7,0,4.4,18.1,9,14.9,10.5,28.6,12.9,14.9,8.9,17,9.7,120357,21467,N,N,(X),(X),(X),(X),(X),(X),1073,204,1.3,2.2,3.6,4.3,6.4,5,11.6,9.9,21.5,9.5,11.9,5.7,15.3,10.4,17.3,8.7,10.9,7.5,0,3,63083,23746,75054,10548,(X),(X),(X),(X),21.6,(X)
1400000US08031000303,"Census Tract 3.03, Denver County, Colorado",2215,143,3.7,3.4,3.5,3.3,11.4,4.9,11.6,5.7,8.4,4.3,8.8,3.8,14.6,5.4,15.6,4.7,7.1,4.1,15.3,5.5,76732,13983,112215,18268,16.5,(X),(X),(X),(X),(X),984,147,0.8,1.4,2.5,2.8,3.7,3.3,6,5.7,6.2,3.5,8.3,5,17.3,8.6,22.5,7.5,13.9,7.6,18.8,8.5,112500,20964,128555,19344,(X),(X),22.3,(X),(X),(X),762,133,0,4.2,1.7,2.6,4.7,4.2,6.4,7,6.3,4.3,7.6,5.2,11.7,6.4,25.6,8.8,13.4,6.8,22.6,10.1,119464,16032,N,N,(X),(X),(X),(X),(X),(X),1231,168,6,5.9,4.2,5.4,17.5,8.5,16.2,9,10.2,7,9.2,5.4,12.5,6.7,10.1,5.2,4.5,5.6,9.6,6.5,43173,14395,97869,31635,(X),(X),(X),(X),11.9,(X)
1400000US08031000401,"Census Tract 4.01, Denver County, Colorado",1478,62,7.5,4.4,4.4,3.2,14.8,5.2,8.5,3.7,11.4,4.8,18.4,6.6,14.7,6,12.5,3.7,5,2.6,2.6,2.1,53438,9990,65144,5763,25.6,(X),(X),(X),(X),(X),782,98,3.5,5.1,1.3,2.1,18.4,8,8.7,5,9.6,5.6,21.6,8.6,15.9,6.6,12.1,4.8,4,3.7,5,4,56944,16005,71173,9801,(X),(X),22.3,(X),(X),(X),521,114,0,6,0,6,18,10.8,4.6,4.9,12.7,7.2,22.1,9.6,10.9,6.3,18.2,7.5,6,5.5,7.5,6.1,66438,9491,N,N,(X),(X),(X),(X),(X),(X),696,107,12.1,6.1,7.9,6.3,10.8,6.9,8.3,5.2,13.5,8.5,17.8,9,12.9,9.5,10.5,5.6,6.2,4.1,0,4.6,44338,12675,57091,8997,(X),(X),(X),(X),29.3,(X)
1400000US08031000402,"Census Tract 4.02, Denver County, Colorado",2877,156,11.3,4.8,8.6,4.2,8.8,4.3,7.4,3.6,9.7,3.7,11.7,4.5,8.3,3.3,17,5.1,6.8,3.3,10.5,4.3,61696,10688,88535,14180,13.6,(X),(X),(X),(X),(X),791,153,1.5,2.4,4.3,4.2,7.8,7.6,4,4.7,3.8,4,14.8,10.5,8.2,5.8,33.2,13.9,6.2,5.4,16.1,8.6,108368,18443,138301,37675,(X),(X),22.4,(X),(X),(X),548,118,0,5.8,0,5.8,2.4,3.9,5.8,6.7,2,3.5,6.6,5.5,11.9,8.6,39.2,14.3,8.9,7.9,23.2,12.1,132614,21149,N,N,(X),(X),(X),(X),(X),(X),2086,210,15,6.3,10.2,5.6,9.2,5.5,8.7,4.8,12,4.7,11.3,5.3,8.4,3.8,10.8,5.4,7,4.6,7.6,5,43639,9693,68222,11978,(X),(X),(X),(X),10.2,(X)
1400000US08031000501,"Census Tract 5.01, Denver County, Colorado",974,43,5.1,4.2,4.1,2.9,7.6,3.7,7.7,4,10,4.3,12.2,4.3,8.2,3.7,22,6.1,11.2,4.1,11.9,5.5,84643,19159,101022,12493,29.6,(X),(X),(X),(X),(X),435,62,3,4.6,2.1,2.2,0.9,1.4,2.1,2.3,4.4,3.7,12.6,5.1,13.8,6.7,25.3,9,19.3,7.4,16.6,7.5,119250,16474,137591,19233,(X),(X),28.3,(X),(X),(X),354,60,3.7,5.6,2.5,2.8,1.1,1.8,1.4,2.2,1.1,1.9,10.7,6,12.7,7.1,29.1,10.8,17.2,7.8,20.3,9.2,123056,16383,N,N,(X),(X),(X),(X),(X),(X),539,75,6.9,6.2,5.8,5.1,13,6.5,12.2,7,14.5,8.1,12.6,6.7,5.4,4.3,18.6,9.1,3,2.6,8.2,7.9,48438,9057,69850,15466,(X),(X),(X),(X),30.6,(X)
1400000US08031000502,"Census Tract 5.02, Denver County, Colorado",2750,124,7.7,3.9,12.9,5,8.9,4,9,3.9,12.2,4.7,11.3,4.3,9.1,4.2,15.3,4.9,4.8,2.3,8.9,4.5,48542,11697,85027,17118,21.1,(X),(X),(X),(X),(X),1194,216,3.2,5.1,9.3,8.2,9.2,7.2,10,5,9.2,6.6,5.4,4.5,10.4,7.7,22.9,8,8.3,4.6,12.1,7,76875,10962,111571,32280,(X),(X),18.1,(X),(X),(X),778,184,0,4.1,7.1,10.4,2.3,3.7,8.7,6.9,2.1,3.4,6.3,6.2,13.2,10.7,33.3,12.1,12.7,7.5,14.3,8.8,110956,19155,N,N,(X),(X),(X),(X),(X),(X),1556,209,11.1,6.3,15.7,6.1,12.6,6.1,4.4,3.6,14.5,6.2,16.8,6.6,7.1,4.3,10.3,5.9,1.1,1.7,6.4,5.6,37833,11103,64081,16800,(X),(X),(X),(X),23.5,(X)
1400000US08031000600,"Census Tract 6, Denver County, Colorado",1253,89,10.3,5.2,8.9,5.1,8.9,5.8,14.9,5.7,13.7,5.4,21.8,7.8,5.3,2.8,8,3.9,5.3,3.6,2.8,3.1,45026,10303,70043,27658,25.9,(X),(X),(X),(X),(X),468,106,6.6,7.3,7.9,8.7,8.5,6.6,18.2,11.5,14.7,11.2,27.1,12.4,6.4,4.9,5.8,4.1,1.7,2.7,3,3.8,47083,9296,55278,9604,(X),(X),28.6,(X),(X),(X),337,105,3.3,4.5,11,11.6,7.4,10.8,15.4,10.7,18.1,14.9,21.4,13.6,8.9,6.9,8,6,2.4,3.9,4.2,5.5,47813,13643,N,N,(X),(X),(X),(X),(X),(X),785,114,15,8,9.6,6.2,11.1,7.9,10.4,7,13.1,6.1,18.6,10.5,4.7,3.2,7.4,4.3,7.4,5.4,2.7,4.4,38458,9932,76050,45252,(X),(X),(X),(X),21.7,(X)
1400000US08031000701,"Census Tract 7.01, Denver County, Colorado",1758,99,20,5.7,8.7,4.3,22.7,5.8,5.3,3.1,18.1,5.9,9.7,3.1,8.1,3.1,3.6,2.1,0.3,0.6,3.4,1.8,23750,6962,49995,11867,36.5,(X),(X),(X),(X),(X),759,121,9.9,5.8,8.6,7.5,14.8,7.3,8.2,6,17,7.6,16.1,5.4,13.7,6.1,4.2,3.8,0.8,1.3,6.9,4,38710,6340,74423,26662,(X),(X),37,(X),(X),(X),480,133,2.9,3.3,7.7,10,23.3,11,10.4,8.9,15.4,7.9,11.7,6.8,9.8,6.7,6.7,6.1,1.3,2,10.8,6.5,36929,9985,N,N,(X),(X),(X),(X),(X),(X),999,128,27.7,7.8,8.8,5.3,28.7,9,4.4,3.2,18.9,8.5,3.7,3.1,3.8,3.2,3.2,3.2,0,3.2,0.7,1.1,17713,2174,31084,6798,(X),(X),(X),(X),36.1,(X)
1400000US08031000702,"Census Tract 7.02, Denver County, Colorado",2015,103,22.9,6.6,3.6,2.4,19.4,7.3,14.4,5.3,12.2,5.5,13.4,4.6,7,3.3,3.8,1.9,3,2.5,0.4,0.6,27847,4127,40868,6053,29.8,(X),(X),(X),(X),(X),1008,179,27,8.5,2.8,3.2,19.2,10.4,9.2,5.8,14.7,8.8,8.8,5.3,7.5,4.9,5.8,4,5,4.8,0,3.2,25926,10299,42231,9238,(X),(X),30.5,(X),(X),(X),463,122,10.2,9.8,0,6.8,24,14.7,4.1,5.7,16,12.2,13.8,9.6,11.4,8.7,9.7,7.7,10.8,10,0,6.8,47083,16987,N,N,(X),(X),(X),(X),(X),(X),1007,188,25.3,10.1,5.4,3.8,15.7,9.3,17,8.6,11,6.6,16.9,7.3,5.6,4.7,1.4,1.5,1,1.8,0.8,1.3,26722,8425,37329,8995,(X),(X),(X),(X),25.2,(X)
1400000US08031000800,"Census Tract 8, Denver County, Colorado",501,30,58.3,12.6,2.4,2.5,27.9,12.7,9.6,6.1,1.8,2.6,0,6.3,0,6.3,0,6.3,0,6.3,0,6.3,9363,2434,12640,2077,28.5,(X),(X),(X),(X),(X),364,57,50,16.8,2.2,3,34.6,15.3,13.2,9.6,0,8.5,0,8.5,0,8.5,0,8.5,0,8.5,0,8.5,10000,10767,12891,3160,(X),(X),36.3,(X),(X),(X),41,34,0,46.3,0,46.3,100,46.3,0,46.3,0,46.3,0,46.3,0,46.3,0,46.3,0,46.3,0,46.3,23029,4975,N,N,(X),(X),(X),(X),(X),(X),137,59,80.3,14.3,2.9,5.9,11.7,13.5,5.1,8.4,0,20.9,0,20.9,0,20.9,0,20.9,0,20.9,0,20.9,9002,331,10893,2479,(X),(X),(X),(X),8,(X)
1400000US08031000902,"Census Tract 9.02, Denver County, Colorado",1674,96,5.6,3,7.9,4.1,13.3,4.7,12.4,4.7,13.7,4.5,22,6.3,12.5,4.3,9.6,3.4,2.4,1.8,0.5,0.9,48400,8031,56700,5215,28.9,(X),(X),(X),(X),(X),1165,99,2.7,3.4,7,5.4,9.1,5.4,11.8,5.2,21.5,7.4,22.7,6.5,11.6,5.1,10.1,4.6,3.5,2.6,0,2.7,49217,5051,59300,5598,(X),(X),32.6,(X),(X),(X),703,98,0,4.5,3.6,4.5,6.3,5,11.7,8.1,20.8,8.6,24.3,8.8,13.4,6.9,15.6,7.2,4.4,3.6,0,4.5,65091,13237,N,N,(X),(X),(X),(X),(X),(X),509,118,12.2,5.7,16.7,9,25,10.5,10.4,6.4,7.5,5,10.6,6.5,9,6.7,6.9,5.3,0,6.2,1.8,2.7,23984,3227,42856,10496,(X),(X),(X),(X),15.7,(X)
1400000US08031000903,"Census Tract 9.03, Denver County, Colorado",1909,82,13.5,5.1,7.3,4.5,13.1,5,13.3,4.3,17.8,6.1,17.7,5.3,13,5.1,2.7,1.9,0.2,0.4,1.5,1.9,39173,7550,43826,4936,33.8,(X),(X),(X),(X),(X),1372,127,9.5,5,9.2,6.6,17.1,6.8,14.6,6.3,17.5,6.1,15.7,6.3,12.5,6.7,3.3,2.6,0.3,0.5,0.4,0.8,34714,12785,42284,5087,(X),(X),38.8,(X),(X),(X),833,118,11.4,7.9,8,7.6,16.1,7.5,11.5,6.1,15.5,7.3,16.6,8.9,16.1,8.8,4.1,3.4,0,3.8,0.7,1.3,42688,15301,N,N,(X),(X),(X),(X),(X),(X),537,101,25.5,11.3,6.9,6.8,7.1,5.4,8.9,7.6,24.8,14.5,14,9.8,7.6,5.5,1.1,1.7,0,5.9,4.1,6.4,38618,17240,40462,12961,(X),(X),(X),(X),19,(X)
1400000US08031000904,"Census Tract 9.04, Denver County, Colorado",1797,82,17.6,4.5,6.3,3,20.1,5.7,10.2,4,14.7,4.7,16.5,5,9,3.8,3.3,2.3,2.1,2,0,1.8,27376,6867,40023,4545,33.9,(X),(X),(X),(X),(X),1032,110,7.1,3.8,1.4,1.6,21.7,7.4,14.1,6.6,18.9,6.4,16.5,6.5,12.9,5.9,4.7,3.7,2.8,3.3,0,3.1,39670,5086,47462,6535,(X),(X),38.4,(X),(X),(X),597,114,5.7,5.4,0,5.3,16.2,8.6,7.4,6,19.6,9.6,21.4,10.2,17.9,9.2,6.9,6,4.9,5.8,0,5.3,50346,14606,N,N,(X),(X),(X),(X),(X),(X),765,100,32.9,9.5,13.1,6.5,18,8,6,4,8.6,5.5,14.9,8.6,3.8,4.2,1.6,2.3,1,1.6,0,4.2,17179,5286,29127,5794,(X),(X),(X),(X),28,(X)
1400000US08031000905,"Census Tract 9.05, Denver County, Colorado",1160,61,12.9,5.7,9.8,4.9,7.9,3.9,19.8,7.2,17.8,7.1,15.1,5.5,6.3,3.6,10.3,5.5,0,2.8,0,2.8,34732,5516,43708,5282,34.7,(X),(X),(X),(X),(X),739,88,13.1,7.6,4.1,4.1,8.5,5.3,19.9,9.2,20.7,9.4,18.7,8.4,3,3.5,12,6.6,0,4.3,0,4.3,37321,7113,45351,6235,(X),(X),38.6,(X),(X),(X),452,93,4.4,6.8,1.1,1.7,4.4,4.3,22.1,11.2,18.6,11.4,27.9,13.1,4.9,5.8,16.6,9.7,0,6.9,0,6.9,49625,8555,N,N,(X),(X),(X),(X),(X),(X),421,85,14,7.7,20,12.6,11.2,7.4,18.1,10.4,13.5,10.2,7.4,6.2,12.1,7.7,3.8,5.9,0,7.4,0,7.4,26602,5699,36485,8988,(X),(X),(X),(X),27.8,(X)
1400000US08031001000,"Census Tract 10, Denver County, Colorado",1165,92,15.9,6.5,11.8,7.1,18.1,7.5,9.8,6.2,20.6,9.6,12.3,6.2,8,5.1,3.1,3.4,0.4,0.9,0,2.7,26810,6898,34807,4983,24.3,(X),(X),(X),(X),(X),850,107,15.2,7.7,11.6,9.5,17.1,9.7,7.4,6.5,22.4,13,12.2,7.8,9.9,7.1,4.2,4.6,0,3.7,0,3.7,30972,13259,36756,6286,(X),(X),23.8,(X),(X),(X),408,124,3.9,6.3,6.1,8.5,15.9,12.8,12.5,12,21.6,13.2,10.5,9,20.6,14.6,8.8,9.4,0,7.7,0,7.7,45222,13914,N,N,(X),(X),(X),(X),(X),(X),315,88,17.8,13.5,12.4,10.7,21,14.8,16.2,12.4,23.2,14.9,5.1,6.1,2.9,4.7,0,9.8,1.6,3.3,0,9.8,24688,6531,28952,6881,(X),(X),(X),(X),18.4,(X)
1400000US08031001101,"Census Tract 11.01, Denver County, Colorado",969,51,16.6,6.1,5,3.5,12.2,5.5,7.3,4.1,19.5,5.9,13.9,4.6,11.6,5,9.2,4,3.6,3.1,1.1,1.6,37430,6080,52657,5934,37.9,(X),(X),(X),(X),(X),673,77,19.6,8.5,3.6,4.5,10.7,5.9,10.5,5.8,17.5,7.2,14.4,5.8,9.1,5.1,12.3,5.6,2.2,3.1,0,4.7,36589,4208,50277,6901,(X),(X),38,(X),(X),(X),389,83,7.7,7.3,0,8,14.1,7.8,4.4,4.6,21.1,10.1,18.3,8.8,15.7,9.2,14.9,8.7,3.9,5.5,0,8,51750,21600,N,N,(X),(X),(X),(X),(X),(X),296,64,16.2,10.8,8.1,6.6,14.2,10.6,6.4,5.3,16.2,11.3,12.2,7.7,14.2,10.5,7.1,5.3,1.7,2.6,3.7,5.2,38333,13847,50121,11036,(X),(X),(X),(X),36.1,(X)
